TimeUS,PLX,PLY,PLZ,SW
232087734,0.08707862347364426,0.18380777537822723,-23.52332305908203,0
232097900,0.07675324380397797,0.14027316868305206,-23.5270938873291,0
232107718,0.07721588760614395,0.16563710570335388,-23.53310775756836,0
232117919,0.1075836718082428,0.1365448385477066,-23.5070743560791,0
232127762,0.12032283842563629,0.15751460194587708,-23.51951789855957,0
232137680,0.10352055728435516,0.172494038939476,-23.528732299804688,0
232148018,0.09024897962808609,0.14127756655216217,-23.524078369140625,0
232157562,0.08735579997301102,0.1622515469789505,-23.53404426574707,0
232167936,0.093742735683918,0.1483275592327118,-23.518381118774414,0
232177570,0.10333819687366486,0.1466355174779892,-23.506542205810547,0
232187721,0.08781693875789642,0.18833057582378387,-23.51823616027832,0
232197937,0.08472608774900436,0.15623202919960022,-23.527341842651367,0
232207776,0.09275533258914948,0.15934346616268158,-23.530553817749023,0
232218560,0.10360777378082275,0.16215527057647705,-23.526044845581055,0
232227760,0.10836312919855118,0.13771530985832214,-23.517391204833984,0
232237658,0.09882069379091263,0.1909654587507248,-23.516294479370117,0
232247975,0.08457259833812714,0.15944109857082367,-23.524782180786133,0
232257690,0.0879068523645401,0.14776328206062317,-23.52231216430664,0
232267946,0.09738728404045105,0.16465139389038086,-23.5268611907959,0
232277643,0.10276462882757187,0.14306896924972534,-23.526290893554688,0
232287770,0.11076009273529053,0.18400199711322784,-23.515174865722656,0
232297909,0.09562015533447266,0.16967904567718506,-23.518835067749023,0
232307709,0.08988691121339798,0.13900282979011536,-23.524370193481445,0
232317885,0.10178309679031372,0.1671467274427414,-23.519094467163086,0
232327762,0.10293237864971161,0.1463976502418518,-23.542089462280273,0
232337639,0.1005038395524025,0.17186594009399414,-23.533554077148438,0
232348134,0.08465279638767242,0.17823411524295807,-23.522092819213867,0
232357557,0.08070291578769684,0.14200448989868164,-23.520647048950195,0
232367917,0.10721856355667114,0.16565462946891785,-23.516176223754883,0
232377676,0.1131751611828804,0.1563834846019745,-23.524126052856445,0
232387736,0.10912353545427322,0.16483819484710693,-23.536558151245117,0
232397924,0.08390218019485474,0.1853354275226593,-23.518829345703125,0
232407701,0.074333555996418,0.14667852222919464,-23.525571823120117,0
232418443,0.09228421747684479,0.15248385071754456,-23.51998519897461,0
232427803,0.11032705008983612,0.16228608787059784,-23.513280868530273,0
232437653,0.10622752457857132,0.1509176641702652,-23.530521392822266,0
232447984,0.08531268686056137,0.17144005000591278,-23.53318977355957,0
232457647,0.0893351212143898,0.15300872921943665,-23.52444839477539,0
232467977,0.10591249912977219,0.14485253393650055,-23.526931762695312,0
232477636,0.11198127269744873,0.17390680313110352,-23.511415481567383,0
232487760,0.10293788462877274,0.1519700288772583,-23.521846771240234,0
232497905,0.08328089863061905,0.18170441687107086,-23.535430908203125,0
232507752,0.08205928653478622,0.16229736804962158,-23.529094696044922,0
232517921,0.09850087761878967,0.14444033801555634,-23.5303897857666,0
232527739,0.11054354161024094,0.17112082242965698,-23.523326873779297,0
232537671,0.11139553040266037,0.1497608721256256,-23.508935928344727,0
232548142,0.09746906161308289,0.16808108985424042,-23.526784896850586,0
232557601,0.08824869245290756,0.1680150330066681,-23.53539276123047,0
232567909,0.09710202366113663,0.13985255360603333,-23.52638053894043,0
232577673,0.09927492588758469,0.1662837117910385,-23.519145965576172,0
232587754,0.09536726027727127,0.15076123178005219,-23.514907836914062,0
232597943,0.09016035497188568,0.15314070880413055,-23.51791000366211,0
232607700,0.09544233977794647,0.1783871054649353,-23.5241641998291,0
232618509,0.10666390508413315,0.14303243160247803,-23.53032112121582,0
232627727,0.1090012714266777,0.16592159867286682,-23.529848098754883,0
232637700,0.10127130895853043,0.1562810093164444,-23.52386474609375,0
232647978,0.08790953457355499,0.14805619418621063,-23.52235221862793,0
232657696,0.0768507644534111,0.17522862553596497,-23.523954391479492,0
232667938,0.08374043554067612,0.14655950665473938,-23.528213500976562,0
232677682,0.09904477000236511,0.16431424021720886,-23.528671264648438,0
232687742,0.09846114367246628,0.1687804013490677,-23.525360107421875,0
232697890,0.09701862931251526,0.14108127355575562,-23.526264190673828,0
232707693,0.09968919306993484,0.16895009577274323,-23.508607864379883,0
232717932,0.10652061551809311,0.1548277884721756,-23.523916244506836,0
232727744,0.09787636995315552,0.15417292714118958,-23.533010482788086,0
232737674,0.09239044040441513,0.17527282238006592,-23.529966354370117,0
232748129,0.08925747871398926,0.1365797072649002,-23.539949417114258,0
232757604,0.09247114509344101,0.1676463931798935,-23.52980613708496,0
232767910,0.10465655475854874,0.16117829084396362,-23.515853881835938,0
232777613,0.10580785572528839,0.16499847173690796,-23.523427963256836,0
232787788,0.10811514407396317,0.1717541217803955,-23.525062561035156,0
232797911,0.09899196028709412,0.13779854774475098,-23.529315948486328,0
232807710,0.08114124834537506,0.15147075057029724,-23.543615341186523,0
